id,place_id,name,address,city,county,zip,phone,website,rating,review_count,categories,business_status,hours_json,franchise_flag,license_verified,matched_license_number,matched_principal_name,match_confidence,source_sweeps,created_at
689,ChIJ3SmiHqaL7IgRis-epAPJu0U,Southern Environmental Solutions Mold Inspection & Testing,,Sneads,Jackson,,+1850-702-4594,https://southernenvironmentalsolutions.com/,4.9,214,"fire and water damage restoration,mold assessment,mold remediation,mold testing,water damage restoration",,,0,0,,,none,"fire and water damage restoration,mold assessment,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
690,ChIJm-B71MdY7IgR6dEM0QQNuLg,SERVPRO of North Leon County,"3841 Killearn Ct STE B, Tallahassee, FL 32309",TALLAHASSEE,Leon,,+1850-446-6920,https://www.servpro.com/locations/fl/servpro-of-north-leon-county?utm_medium=organic&utm_source=gbp,4.8,98,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",,,1,0,,,none,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
691,ChIJv170TPCL7IgRxHz2mPUigTA,SERVPRO of Central Tallahassee,"2827 Manufacturer Ct, Tallahassee, FL 32310",TALLAHASSEE,Leon,,+1850-765-5706,https://www.servpro.com/locations/fl/servpro-of-central-tallahassee?utm_medium=organic&utm_source=gbp,4.8,89,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",,,1,0,,,none,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
692,ChIJ79YVdgXTsw0RiL2WZ90xRqY,The Healthy Environments,"6309 Coach House Ct, Tallahassee, FL 32312",TALLAHASSEE,Leon,,+1850-272-7080,https://www.thehealthyenvironments.com/?utm_source=omg-gbp&utm_medium=webclick,4.7,70,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",,,0,0,,,none,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
693,ChIJF-6LKb9f7IgRGtn0OwyU4qI,Indoor Environmental Management,"8821 W Tennessee St, Tallahassee, FL 32304",TALLAHASSEE,Leon,,+1850-383-6653,https://www.northernfloridacrawlspace.com/,5.0,98,"mold assessment,mold inspection,mold remediation,mold testing",,,0,1,MRSA1050,"HASSLER, JOHN DOUGLAS SR",high,"mold assessment,mold inspection,mold remediation,mold testing",2026-08-28 20:40:17
694,ChIJTZRh7jDx7IgRHhOsOZvdJdY,Paul Davis Restoration of Tallahassee,"5278 Tower Rd, Tallahassee, FL 32303",TALLAHASSEE,Leon,,+1850-576-7378,https://tallahassee.pauldavis.com/,4.6,80,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",,,1,0,,,none,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
695,ChIJwVwJTONe7IgRkGSjJs8cEl0,SERVPRO of Tallahassee,"3161-1 Eliza Rd, Tallahassee, FL 32308",TALLAHASSEE,Leon,,+1850-629-5382,https://www.servpro.com/locations/fl/servpro-of-tallahassee?utm_medium=organic&utm_source=gbp,4.3,28,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",,,1,1,MRSA84,"THAKKAR, AJAYKUMAR J",high,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,water damage restoration",2026-08-28 20:40:17
696,ChIJb9Y-4VXz7IgRS4xFmAVyriw,RECON Restoration & Reconstruction LLC,"5772 Mandy Ln, Tallahassee, FL 32304",TALLAHASSEE,Leon,,+1850-739-8862,http://www.recon-restoration.com/?utm_campaign=gmb,4.6,58,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,restoration company,water damage restoration",,,1,0,,,none,"disaster restoration company,fire and water damage restoration,mold assessment,mold inspection,mold remediation,mold testing,restoration company,water damage restoration",2026-08-28 20:40:17
697,ChIJufMm2uZe7IgRtz2tQIWlQXM,Ericks Environmental Consulting,"2991 Alexis Ct, Tallahassee, FL 32308",TALLAHASSEE,Leon,,+1850-556-8888,http://indoorairqualitymatters.com/,5.0,49,"mold remediation,mold testing",,,0,1,MRSA721,"ERICKS, CINDY GAIL",high,"mold remediation,mold testing",2026-08-28 20:40:17
698,ChIJk-GpYY9f7IgR9Ve0dmqw70A,Tallahassee Mold Specialists,"1335 E 6th Ave, Tallahassee, FL 32303",TALLAHASSEE,Leon,,+1239-474-3462,,5.0,1,"mold remediation,mold testing",,,0,0,,,none,"mold remediation,mold testing",2026-08-28 20:40:17
